Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2036-12-31,267263.813842833,91066.0278719735,6428.8367130337,0,8286.15974128956,28157.9365002547,2799.65571459076,52208.2965385835,0,7.2274563777448,0,0,0,0,0,17652.2173811562,292533377.246749,2022
2037-01-31,267701.274977001,91752.9126302813,6442.64913725563,0,8350.2796270792,19875.3585934529,2777.64789772647,52515.8058970309,0,7.15775033394604,0,0,0,0,0,19067.4307835183,291817135.217994,2022
2037-02-28,266302.39756525,91434.4492897952,6404.73432070102,0,8360.22061512941,6313.03860626309,2755.81876323606,52725.0170153008,0,7.0887579649078,0,0,0,0,0,20707.9122117784,290045790.478333,2022
2037-03-31,266666.017604767,91547.5841033973,6423.85367383725,0,8363.77705371342,18505.8279506532,2762.68957468043,52968.8161930518,0,7.02047150881869,0,0,0,0,0,18904.9358205287,288826224.317329,2022
2037-04-30,266265.646285269,91507.8448440493,6453.18977271999,0,8367.49813616962,13454.9325809256,2758.81403160877,53221.9432646635,0,7.19361482605266,0,0,0,0,0,19772.1005875087,287689104.41398,2022
2037-05-31,264860.168096639,91232.3090816156,6436.68651069095,0,8359.82606068565,3092.45144006383,2737.07225613588,53423.9887746068,0,7.12478343234884,0,0,0,0,0,21080.1102489867,285776459.40579,2022
2037-06-30,263851.346746733,90972.7808775725,6463.31118886064,0,8363.91679711071,6794.32844995822,2715.51194612354,53617.3989581811,0,7.05665073144365,0,0,0,0,0,20252.0989529009,284075155.486783,2022
2037-07-31,263961.246709765,91117.2850080791,6505.58334333291,0,8368.21037470514,15913.3685992954,2708.99447214802,53851.7260966093,0,6.98920918687912,0,0,0,0,0,19536.1768837741,282877042.393618,2022
2037-08-31,263720.472395708,91454.6808208262,6494.44653248963,0,8363.70999686323,7627.45100716989,2700.45753902886,54090.7504100725,0,6.92245134812868,0,0,0,0,0,20661.5505877723,281524130.491335,2022
2037-09-30,264915.719423056,92112.1915882838,6513.52761541247,0,8368.35883869978,21674.4604710306,2693.66322905371,54413.3910997938,0,6.85636984957177,0,0,0,0,0,18886.7284868782,280835889.537453,2022
2037-10-31,264704.90737192,91886.5975308586,6592.33583142336,0,8373.16553927644,16700.8600704787,2689.78138492084,54732.2997812053,0,6.79095740948109,0,0,0,0,0,19701.9342197409,279474990.931408,2022
2037-11-30,265700.693354925,92490.3037880509,6710.49321638463,0,8378.16165112694,23616.2301503909,2694.98547381088,55092.2766226662,0,6.72620682902238,0,0,0,0,0,19028.5410958219,278903185.762219,2022
2037-12-31,268059.688124989,94135.1632142973,6903.05899193689,0,8383.30596529867,26574.8124945274,2839.0053297888,55471.8189036288,0,6.75824317470341,0,0,0,0,0,18337.3174001992,279379674.322441,2022
2038-01-31,268520.480730469,94857.698723045,6921.40299466588,0,8388.62286419596,18993.5601583601,2816.53552620802,55804.6237152601,0,6.69352628068306,0,0,0,0,0,19694.0896880027,278696325.614433,2022
2038-02-28,266798.828661603,94535.7395999377,6881.33297942035,0,8383.86747975904,6013.43724897024,2794.25184034053,55710.0270150523,0,6.62946688260287,0,0,0,0,0,21316.0774747469,276934394.785905,2022
2038-03-31,267137.105120072,94642.351633353,6899.21796511107,0,8391.33561342405,17201.6086797702,2800.56021462222,55990.7420945113,0,6.56605788243688,0,0,0,0,0,19562.5974807604,275763637.865482,2022
2038-04-30,266734.18045961,94590.1786920947,6925.98491943801,0,8398.99254290422,12899.1853841166,2796.09416384818,56271.3874912795,0,6.73274231811681,0,0,0,0,0,20349.846980819,274678766.096419,2022
2038-05-31,265180.364296128,94295.7671117529,6654.74525853098,0,8371.36590162226,2637.50907749969,2773.9109360882,56399.8914434453,0,6.66876993503069,0,0,0,0,0,21731.8843970994,272539976.16224,2022
2038-06-30,262964.657252986,94017.0831216948,6686.9494596389,0,8337.09494422808,6055.63364200652,2751.91559467495,55793.8449855085,0,6.60544194464067,0,0,0,0,0,20788.1329904499,270587797.542939,2022
