"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
179,0,835542.149891925,0,7331000.36955479,835542.149891925,-7331000.36955479
180,0,836151.109212248,0,7325063.28974055,836151.109212248,-7325063.28974055
181,0,838753.081425213,0,7322433.76282281,838753.081425213,-7322433.76282281
182,0,840240.708125801,0,7316418.07650743,840240.708125801,-7316418.07650743
183,0,841598.44753919,0,7309547.82340566,841598.44753919,-7309547.82340566
184,0,841434.526267148,0,7302594.75189775,841434.526267148,-7302594.75189775
185,0,844803.655549783,0,7298474.96463307,844803.655549783,-7298474.96463307
186,0,844470.403972311,0,7299559.54444745,844470.403972311,-7299559.54444745
187,0,843165.408887962,0,7298122.50160772,843165.408887962,-7298122.50160772
188,0,840953.070419747,0,7273090.74235199,840953.070419747,-7273090.74235199
189,0,839872.510868923,0,7252733.98242501,839872.510868923,-7252733.98242501
190,0,842688.827811068,0,7246279.40297092,842688.827811068,-7246279.40297092
191,0,840946.294132933,0,7237321.39791061,840946.294132933,-7237321.39791061
192,0,841641.841711641,0,7232817.41648614,841641.841711641,-7232817.41648614
193,0,844264.036086114,0,7226400.47864462,844264.036086114,-7226400.47864462
194,0,843670.018982141,0,7217408.18963173,843670.018982141,-7217408.18963173
195,0,841066.185086523,0,7207347.30776597,841066.185086523,-7207347.30776597
196,0,842153.283872694,0,7196946.49865252,842153.283872694,-7196946.49865252
197,0,849308.86551499,0,7196749.49117066,849308.86551499,-7196749.49117066
198,0,848629.29975159,0,7197237.59358776,848629.29975159,-7197237.59358776
199,0,850068.38918309,0,7196416.49019714,850068.38918309,-7196416.49019714
200,0,846247.825966127,0,7170951.14729666,846247.825966127,-7170951.14729666
201,0,846764.939736281,0,7149746.5725971,846764.939736281,-7149746.5725971
202,0,847567.566357674,0,7143157.73679854,847567.566357674,-7143157.73679854
203,0,848633.605540415,0,7132766.8667967,848633.605540415,-7132766.8667967
204,0,850763.540660462,0,7125521.35239811,850763.540660462,-7125521.35239811
205,0,852858.646430315,0,7123020.62316229,852858.646430315,-7123020.62316229
206,0,851892.594139895,0,7111531.74654725,851892.594139895,-7111531.74654725
207,0,855386.805982852,0,7103774.90411614,855386.805982852,-7103774.90411614
208,0,856739.032278647,0,7099258.59215699,856739.032278647,-7099258.59215699
209,0,864179.862125154,0,7102146.80704354,864179.862125154,-7102146.80704354
210,0,865552.389255278,0,7096679.5081188,865552.389255278,-7096679.5081188
211,0,868252.550044975,0,7096964.88552035,868252.550044975,-7096964.88552035
212,0,866122.156508106,0,7068004.4023416,866122.156508106,-7068004.4023416
213,0,865227.391754997,0,7044985.82946463,865227.391754997,-7044985.82946463
214,0,865672.839431391,0,7039233.5825518,865672.839431391,-7039233.5825518
215,0,867567.990291288,0,7030715.67849994,867567.990291288,-7030715.67849994
216,0,869939.118600956,0,7024219.38194724,869939.118600956,-7024219.38194724
217,0,871469.439091725,0,7019289.6281297,871469.439091725,-7019289.6281297
218,0,871894.875016926,0,7011003.65259949,871894.875016926,-7011003.65259949
219,0,867451.727749679,0,6996370.73862033,867451.727749679,-6996370.73862033
220,0,865806.048737476,0,6990258.52961586,865806.048737476,-6990258.52961586
221,0,872818.216954026,0,6993182.8009505,872818.216954026,-6993182.8009505
222,0,874662.356566425,0,6994841.83758487,874662.356566425,-6994841.83758487
223,0,876268.413314226,0,6995353.28185221,876268.413314226,-6995353.28185221
224,0,874893.413996674,0,6971229.70548537,874893.413996674,-6971229.70548537
225,0,866333.707067532,0,6949475.84544017,866333.707067532,-6949475.84544017
226,0,867202.817230426,0,6946641.78432432,867202.817230426,-6946641.78432432
227,0,867582.286239156,0,6936913.71051103,867582.286239156,-6936913.71051103
228,0,869364.946744446,0,6929236.76741044,869364.946744446,-6929236.76741044
