id,year,type,group,portfolio,time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
,2024,in-force,onerous,1,31/03/2037,3205013.02,956514.75,72382.75,    ,330495.04,220519.48,28946.96,500457.57,    ,352.42,    ,    ,    ,    ,    ,240149.81,4679027347
,2024,in-force,onerous,1,30/04/2037,3204507.15,958352.74,72590.05,    ,332337.02,249419.95,28955.76,502155.26,    ,350.98,    ,    ,    ,    ,    ,236387.23,4658291129
,2024,in-force,onerous,1,31/05/2037,3206273.32,960909.26,72867.92,    ,334012.93,271873.97,28985.17,503980.26,    ,349.67,    ,    ,    ,    ,    ,233770.66,4639122969
,2024,in-force,onerous,1,30/06/2037,3210338.22,964191.91,73217.23,    ,335513.34,294615.91,29035.43,505939.93,    ,348.49,    ,    ,    ,    ,    ,231330.05,4621538776
,2024,in-force,onerous,1,31/07/2037,3207021.8,965071.77,73468.45,    ,336798.1,220857.52,29025.59,507540.96,    ,346.92,    ,    ,    ,    ,    ,240268,4599314339
,2024,in-force,onerous,1,31/08/2037,3204010.81,966020.91,73727.28,    ,337915.09,223654.21,29018.38,509051.65,    ,345.38,    ,    ,    ,    ,    ,240140.27,4577438991
,2024,in-force,onerous,1,30/09/2037,3200215.3,966677.19,73952.55,    ,338890.44,215717.47,29003.53,510548.28,    ,343.81,    ,    ,    ,    ,    ,241582.38,4555252963
,2024,in-force,onerous,1,31/10/2037,3197067.8,967508.96,74198.52,    ,339695.43,221996.26,28994.55,512039.36,    ,342.28,    ,    ,    ,    ,    ,240923.54,4533620657
,2024,in-force,onerous,1,30/11/2037,3194648.99,968539.44,74468.28,    ,340302.42,229124.96,28992.21,513555.44,    ,340.81,    ,    ,    ,    ,    ,240218.32,4512589963
,2024,in-force,onerous,1,31/12/2037,3193007.46,969781.09,74763.7,    ,340688.07,236789.89,28996.99,515109.05,    ,339.38,    ,    ,    ,    ,    ,239522.96,4492189328
,2024,in-force,onerous,1,31/01/2038,3188883.96,970186.01,74961.57,    ,340840.47,212098.41,28978.11,516680.93,    ,337.84,    ,    ,    ,    ,    ,243530.08,4470447851
,2024,in-force,onerous,1,28/02/2038,3181693.85,969565.11,75039.86,    ,340990.36,181590.09,28930.06,518202.32,    ,336.15,    ,    ,    ,    ,    ,248111.55,4447009300
,2024,in-force,onerous,1,31/03/2038,3177657.3,969967.74,75233.86,    ,341143.71,212572.27,28911.53,519684.06,    ,334.64,    ,    ,    ,    ,    ,243583.01,4425630131
,2024,in-force,onerous,1,30/04/2038,3176452.4,971288.17,75531.41,    ,341301.39,240421.89,28919.51,521233.25,    ,333.28,    ,    ,    ,    ,    ,239792.75,4406116509
,2024,in-force,onerous,1,31/05/2038,3177447.26,973318.45,75908.61,    ,341465.66,262060.65,28948.06,522879.35,    ,332.05,    ,    ,    ,    ,    ,237147.21,4388086812
,2024,in-force,onerous,1,30/06/2038,3180667.59,976067.03,76366.41,    ,341636.49,283977.29,28997.41,524629.48,    ,330.94,    ,    ,    ,    ,    ,234656.63,4371556093
,2024,in-force,onerous,1,31/07/2038,3178056.51,977561.94,76442.69,    ,341852.18,212558.78,28985.67,526496.03,    ,329.46,    ,    ,    ,    ,    ,244066.35,4350531682
,2024,in-force,onerous,1,31/08/2038,3175748.18,979150.1,76526.71,    ,342081.45,215253.1,28976.55,528273.3,    ,328,    ,    ,    ,    ,    ,244024.49,4329835472
,2024,in-force,onerous,1,30/09/2038,3172632.27,980435.75,76583.58,    ,342327.27,207620.35,28959.84,530033.2,    ,326.52,    ,    ,    ,    ,    ,245548.82,4308845837
,2024,in-force,onerous,1,31/10/2038,3170168.09,981940.17,76659.25,    ,342585.61,213663.8,28948.98,531789.63,    ,325.08,    ,    ,    ,    ,    ,244923.09,4288377268
,2024,in-force,onerous,1,30/11/2038,3168437.99,983693.29,76756.34,    ,342856.88,220524.83,28944.73,533572.55,    ,323.69,    ,    ,    ,    ,    ,244224.91,4268474891
