"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
184,31345458.733026,0,1518026.40330368,11667572.0202475,1518026.40330368
185,31308388.5021617,0,1580211.23854949,11690572.0890186,1580211.23854949
186,31282425.0010857,0,1579970.97168964,11725763.7029397,1579970.97168964
187,31268283.8189371,0,1515998.8319225,11761303.1446705,1515998.8319225
188,31168025.9256597,0,976190.871296519,11744297.6662206,976190.871296519
189,31079172.7649539,0,1267013.60859503,11741230.4891928,1267013.60859503
190,31036865.553766,0,1607274.87997316,11751440.5293615,1607274.87997316
191,31015255.3866138,0,1663907.41829688,11762074.322981,1663907.41829688
192,31002504.9476366,0,1656861.59245304,11781364.5951556,1656861.59245304
193,30943057.3280134,0,1452389.72610207,11781348.3807201,1452389.72610207
194,30900491.331012,0,1385675.42650551,11786237.49873,1385675.42650551
195,30868310.8714477,0,1451646.03789626,11799546.7565912,1451646.03789626
196,30822730.536143,0,1423838.435955,11806342.2502351,1423838.435955
197,30797512.2105091,0,1461307.05882766,11828653.5261313,1461307.05882766
198,30789986.8085843,0,1465158.1758065,11863997.4673008,1465158.1758065
199,30775487.6906318,0,1394389.71396621,11896248.2624566,1394389.71396621
200,30665434.2109188,0,896397.13618556,11872130.3324157,896397.13618556
201,30569625.3288742,0,1178187.09968282,11860760.3144087,1178187.09968282
202,30539379.2246621,0,1506004.38782506,11873348.2765608,1506004.38782506
203,30494613.1674615,0,1541324.38492328,11875179.5861582,1541324.38492328
204,30475886.2610763,0,1545116.25397729,11891926.8853582,1545116.25397729
205,30434582.3574469,0,1340148.35096803,11889473.8255217,1340148.35096803
206,30385043.2027319,0,1291123.64928938,11894921.4256069,1291123.64928938
207,30346333.4628196,0,1320922.71462071,11906710.1860568,1320922.71462071
208,30303310.4320605,0,1312170.92965191,11914742.1270712,1312170.92965191
209,30276928.9795336,0,1342906.24271707,11935310.1638203,1342906.24271707
210,30252936.8113668,0,1320275.15890468,11968012.224037,1320275.15890468
211,30230335.9222842,0,1271499.17980137,11997776.2710665,1271499.17980137
212,30106375.3855425,0,832049.856131841,11975881.0831861,832049.856131841
213,30002786.0187653,0,1073032.92226579,11962595.7601606,1073032.92226579
214,29962439.1574093,0,1395734.05439249,11976377.881092,1395734.05439249
215,29932429.5200356,0,1415617.4985889,11980356.1838077,1415617.4985889
216,29920591.8544135,0,1429411.08227423,11991685.3400033,1429411.08227423
217,29872121.4602678,0,1258223.24382311,11986848.4417667,1258223.24382311
218,29821586.3475377,0,1153513.83147457,11987090.6601682,1153513.83147457
219,29764567.5156615,0,1227122.33917481,11991975.9116086,1227122.33917481
220,29718495.9899864,0,1199494.10844212,11994863.589697,1199494.10844212
221,29696916.8645799,0,1221560.33551041,12017188.5853957,1221560.33551041
222,29676959.7040948,0,1210756.64410886,12048334.5292807,1210756.64410886
223,29660521.8026973,0,1165211.09574422,12080035.2824783,1165211.09574422
224,29562102.7758773,0,749963.639680652,12057249.3880561,749963.639680652
225,29477812.7052343,0,995302.243941543,12047620.5378032,995302.243941543
226,29452958.5219783,0,1284866.06329774,12057489.2458146,1284866.06329774
227,29419263.0542944,0,1293534.260449,12066633.5960064,1293534.260449
228,29395710.88605,0,1292357.16039746,12078281.5467691,1292357.16039746
229,29338053.9632626,0,1160540.65647716,12074116.867784,1160540.65647716
230,29296299.1755584,0,1066809.01728247,12079120.0896428,1066809.01728247
231,29244072.8496081,0,1106194.05185111,12090594.1587621,1106194.05185111
232,29194676.7687533,0,1103079.73585263,12101180.1689615,1103079.73585263
233,29149875.9892418,0,1127015.95912279,12121527.5417616,1127015.95912279
234,29145651.6813042,0,1095246.10460833,12158579.3766544,1095246.10460833
235,29130182.0584867,0,1034045.89674607,12189777.5827554,1034045.89674607
236,29015075.5421997,0,678899.680549351,12164338.6220078,678899.680549351
237,28932188.4062349,0,906375.881552197,12155488.9254644,906375.881552197
238,28891732.0963185,0,1172602.96487398,12170086.0660611,1172602.96487398
239,28848609.5888764,0,1200730.90571821,12178945.9881005,1200730.90571821
240,28804767.7590766,0,1143925.89297705,12196568.3138095,1143925.89297705
241,28750849.9780582,0,1049715.67597147,12193730.2538074,1049715.67597147
242,28707172.7117905,0,972823.171837949,12190454.4079143,972823.171837949
243,28672635.6838901,0,1016748.72335369,12198231.1879442,1016748.72335369
244,28612041.1680238,0,1000574.98908785,12207512.2243965,1000574.98908785
245,28588013.7733364,0,1017082.01488195,12227980.5496755,1017082.01488195
246,28543621.4851033,0,987669.166143588,12257562.5344472,987669.166143588
247,28519995.5837472,0,919051.122349116,12289255.5879654,919051.122349116
248,28400242.9563578,0,603916.413754352,12255895.198037,603916.413754352
249,28322739.6536424,0,817946.665013574,12246187.6339815,817946.665013574
250,28287697.8321687,0,1048006.18050042,12261043.4711325,1048006.18050042
251,28268243.3473229,0,1093311.89511582,12270099.1183395,1093311.89511582
252,28248574.3605532,0,1067376.7641626,12287365.4233791,1067376.7641626
253,28197146.8093657,0,963723.763451349,12281449.3638778,963723.763451349
254,28143360.5749621,0,876418.924757013,12278224.0393931,876418.924757013
255,28112124.6918307,0,907173.234290529,12279436.846937,907173.234290529
256,28057211.4181548,0,861830.89962243,12285628.3202209,861830.89962243
257,28026159.7991836,0,902281.788227955,12302975.0441981,902281.788227955
