2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;324;14.0237847237008;3.532509158
*;325;14.0409861342858;3.532935493
*;326;14.0570959755208;3.53333476
*;327;14.0737524565154;3.533747561
*;328;14.0909557158985;3.534173898
*;329;14.0853850331854;3.532785131
*;330;14.0798146224704;3.531396382
*;331;14.0742444837399;3.530007652
*;332;14.0686746169809;3.528618941
*;333;14.06310502218;3.527230248
*;334;14.0575356993239;3.525841574
*;335;14.0519666483994;3.524452919
*;336;14.0463978693931;3.523064282
*;337;14.0408293622918;3.521675664
*;338;14.0352611270823;3.520287064
*;339;14.0296931637512;3.518898483
*;340;14.0241254722852;3.517509921
*;341;14.0185580526712;3.516121377
*;342;14.0129909048958;3.514732852
*;343;14.0074240289457;3.513344346
*;344;14.0018574248077;3.511955858
*;345;13.9962910924685;3.510567389
*;346;13.9907250319149;3.509178938
*;347;13.9851592431335;3.507790506
*;348;13.9795937261111;3.506402093
*;349;13.9740284808344;3.505013698
*;350;13.9684635072902;3.503625322
*;351;13.9628988054652;3.502236965
*;352;13.9573343753461;3.500848626
*;353;13.9517702169196;3.499460306
*;354;13.9462063301726;3.498072005
*;355;13.9406427150917;3.496683722
*;356;13.9350793716636;3.495295457
*;357;13.9295162998751;3.493907212
*;358;13.923953499713;3.492518985
*;359;13.9183909711639;3.491130776
*;360;13.9128287142146;3.489742586
*;361;13.9128287142146;3.489742587
*;362;13.9128287142146;3.489742588
*;363;13.9128287142146;3.489742589
*;364;13.9128287142146;3.489742590
*;365;13.9128287142146;3.489742591
*;366;13.9128287142146;3.489742592
*;367;13.9128287142146;3.489742593
*;368;13.9128287142146;3.489742594
*;369;13.9128287142146;3.489742595
*;370;13.9128287142146;3.489742596
*;371;13.9128287142146;3.489742597
*;372;13.9128287142146;3.489742598
*;373;13.9128287142146;3.489742599
*;374;13.9128287142146;3.489742600
*;375;13.9128287142146;3.489742601
*;376;13.9128287142146;3.489742602
*;377;13.9128287142146;3.489742603
*;378;13.9128287142146;3.489742604
*;379;13.9128287142146;3.489742605
