!2;TIME;RFR_PC;RY_PC
*;409;12.02098969;4.877149236
*;410;12.01667688;4.874688087
*;411;12.01236423;4.872226996
*;412;12.00805175;4.869765963
*;413;12.00373944;4.867304987
*;414;11.99942729;4.864844069
*;415;11.99511531;4.862383209
*;416;11.9908035;4.859922406
*;417;11.98649185;4.857461661
*;418;11.98218036;4.855000974
*;419;11.97786904;4.852540345
*;420;11.97355789;4.850079774
*;421;11.96924691;4.84761926
*;422;11.96493609;4.845158804
*;423;11.96062543;4.842698406
*;424;11.95631495;4.840238065
*;425;11.95200462;4.837777782
*;426;11.94769447;4.835317557
*;427;11.94338448;4.83285739
*;428;11.93907465;4.830397281
*;429;11.934765;4.827937229
*;430;11.9304555;4.825477235
*;431;11.92614618;4.823017298
*;432;11.92183702;4.820557419
*;433;11.91752802;4.818097599
*;434;11.9132192;4.815637835
*;435;11.90891053;4.81317813
*;436;11.90460204;4.810718482
*;437;11.9002937;4.808258892
*;438;11.89598554;4.80579936
*;439;11.89167754;4.803339885
*;440;11.88736971;4.800880468
*;441;11.88306204;4.798421109
*;442;11.87875454;4.795961808
*;443;11.8744472;4.793502564
*;444;11.87014003;4.791043378
*;445;11.86583303;4.788584249
*;446;11.86152619;4.786125179
*;447;11.85721952;4.783666166
*;448;11.85291301;4.781207211
*;449;11.84860667;4.778748313
*;450;11.8443005;4.776289473
*;451;11.83999449;4.773830691
*;452;11.83568864;4.771371967
*;453;11.83138297;4.7689133
*;454;11.82707745;4.766454691
*;455;11.82277211;4.76399614
*;456;11.81846693;4.761537646
*;457;11.81416191;4.75907921
*;458;11.80985706;4.756620832
*;459;11.80555238;4.754162511
*;460;11.80124786;4.751704249
*;461;11.79694351;4.749246043
*;462;11.79263933;4.746787896
*;463;11.7883353;4.744329806
*;464;11.78403145;4.741871774
*;465;11.77972776;4.7394138
*;466;11.77542424;4.736955883
*;467;11.77112088;4.734498024
*;468;11.76681769;4.732040222
*;469;11.76251466;4.729582479
*;470;11.7582118;4.727124793
*;471;11.75390911;4.724667164
*;472;11.74960658;4.722209594
*;473;11.74530421;4.719752081
*;474;11.74100202;4.717294625
*;475;11.73669998;4.714837228
*;476;11.73239812;4.712379888
*;477;11.72809642;4.709922605
*;478;11.72379488;4.707465381
*;479;11.71949351;4.705008214
*;480;11.71519231;4.702551104
*;481;11.71089127;4.700094052
*;482;11.7065904;4.697637058
*;483;11.70228969;4.695180122
*;484;11.69798915;4.692723243
*;485;11.69368877;4.690266422
*;486;11.68938856;4.687809659
*;487;11.68508852;4.685352953
*;488;11.68078864;4.682896305
*;489;11.67648892;4.680439715
*;490;11.67218937;4.677983182
*;491;11.66788999;4.675526707
*;492;11.66359077;4.673070289
*;493;11.65929172;4.670613929
*;494;11.65499283;4.668157627
*;495;11.65069411;4.665701382
*;496;11.64639556;4.663245196
*;497;11.64209717;4.660789066
*;498;11.63779894;4.658332995
*;499;11.63350089;4.655876981
*;500;11.62920299;4.653421024
*;501;11.62490526;4.650965125
*;502;11.6206077;4.648509284
*;503;11.6163103;4.646053501
*;504;11.61201307;4.643597775
*;505;11.60771601;4.641142107
*;506;11.60341911;4.638686496
*;507;11.59912237;4.636230943
*;508;11.5948258;4.633775448
*;509;11.5905294;4.63132001
*;510;11.58623316;4.62886463
*;511;11.58193708;4.626409307
*;512;11.57764118;4.623954042
*;513;11.57334543;4.621498835
*;514;11.56904985;4.619043686
*;515;11.56475444;4.616588594
*;516;11.5604592;4.614133559
*;517;11.55616411;4.611678582
*;518;11.5518692;4.609223663
*;519;11.54757445;4.606768802
*;520;11.54327986;4.604313998
*;521;11.53898544;4.601859251
*;522;11.53469119;4.599404563
*;523;11.5303971;4.596949931
*;524;11.52610318;4.594495358
*;525;11.52180942;4.592040842
*;526;11.51751582;4.589586384
*;527;11.5132224;4.587131983
*;528;11.50892913;4.58467764
*;529;11.50463604;4.582223354
*;530;11.5003431;4.579769126
*;531;11.49605034;4.577314956
*;532;11.49175773;4.574860843
*;533;11.4874653;4.572406788
*;534;11.48317303;4.56995279
*;535;11.47888092;4.56749885
*;536;11.47458898;4.565044968
*;537;11.47029721;4.562591143
*;538;11.4660056;4.560137376
*;539;11.46171415;4.557683666
*;540;11.45742287;4.555230014
*;541;11.45313176;4.552776419
*;542;11.44884081;4.550322882
*;543;11.44455002;4.547869403
*;544;11.4402594;4.545415981
*;545;11.43596895;4.542962617
*;546;11.43167866;4.54050931
*;547;11.42738854;4.538056061
*;548;11.42309858;4.53560287
*;549;11.41880879;4.533149736
*;550;11.41451916;4.53069666
*;551;11.4102297;4.528243641
*;552;11.4059404;4.52579068
*;553;11.40165127;4.523337776
*;554;11.3973623;4.52088493
*;555;11.3930735;4.518432141
*;556;11.38878486;4.51597941
*;557;11.38449639;4.513526737
*;558;11.38020808;4.511074121
*;559;11.37591994;4.508621563
*;560;11.37163196;4.506169062
*;561;11.36734415;4.503716619
*;562;11.36305651;4.501264233
*;563;11.35876903;4.498811905
