Reporting Date,GIC Code,Premium CFs (Unlinked)(Current Service),Premium CFs (Unlinked)(Future Service),Acquisition Expense CFs (Unlinked)(Current Service),Acquisition Expense CFs (Unlinked)(Future Service),Investment Component CFs (Unlinked),Claim and Other Expense CFs (Unlinked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Unlinked)(Incurred in Future Reporting Periods),Premium CFs (Linked)(Current Service),Premium CFs (Linked)(Future Service),Acquisition Expense CFs (Linked)(Current Service),Acquisition Expense CFs (Linked)(Future Service),Investment Component CFs (Linked),Claim and Other Expense CFs (Linked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Linked)(Incurred in Future Reporting Periods),Delay (in Years)
6/30/2017,BLL_1711,0,31646.03933,0,335.9210542,0,0,-18976.15839,0,0,0,0,0,0,0,10.41666667
6/30/2017,BLL_1711,0,31290.51427,0,295.3705101,0,0,-18893.23645,0,0,0,0,0,0,0,10.5
6/30/2017,BLL_1711,0,30939.05021,0,255.6931931,0,0,-18809.78637,0,0,0,0,0,0,0,10.58333333
6/30/2017,BLL_1711,0,30591.59707,0,216.8743742,0,0,-18726.0355,0,0,0,0,0,0,0,10.66666667
6/30/2017,BLL_1711,0,30818.51616,0,-7406.249388,0,0,-18765.12462,0,0,0,0,0,0,0,10.75
6/30/2017,BLL_1711,0,31634.75872,0,-16091.35599,0,0,-18913.48576,0,0,0,0,0,0,0,10.83333333
6/30/2017,BLL_1711,0,32752.25523,0,-19006.70987,0,0,-19194.06743,0,0,0,0,0,0,0,10.91666667
6/30/2017,BLL_1711,0,32382.37404,0,568.1878872,0,0,-19249.70335,0,0,0,0,0,0,0,11
6/30/2017,BLL_1711,0,32017.45332,0,539.3417582,0,0,-19213.10156,0,0,0,0,0,0,0,11.08333333
6/30/2017,BLL_1711,0,31657.23857,0,511.0757181,0,0,-19154.20115,0,0,0,0,0,0,0,11.16666667
6/30/2017,BLL_1711,0,31301.26489,0,465.9574667,0,0,-19086.49412,0,0,0,0,0,0,0,11.25
6/30/2017,BLL_1711,0,30949.40223,0,398.9591957,0,0,-19015.36891,0,0,0,0,0,0,0,11.33333333
6/30/2017,BLL_1711,0,30601.57024,0,320.9040885,0,0,-18942.31863,0,0,0,0,0,0,0,11.41666667
6/30/2017,BLL_1711,0,30257.71011,0,282.1679535,0,0,-18868.21921,0,0,0,0,0,0,0,11.5
6/30/2017,BLL_1711,0,29917.77267,0,244.2660014,0,0,-18793.43818,0,0,0,0,0,0,0,11.58333333
6/30/2017,BLL_1711,0,29581.70947,0,207.1841734,0,0,-18718.17394,0,0,0,0,0,0,0,11.66666667
6/30/2017,BLL_1711,0,29802.69776,0,-7063.765996,0,0,-18762.15598,0,0,0,0,0,0,0,11.75
6/30/2017,BLL_1711,0,30671.60759,0,-15368.00837,0,0,-18962.85819,0,0,0,0,0,0,0,11.83333333
6/30/2017,BLL_1711,0,31777.11959,0,-18130.93179,0,0,-19287.42816,0,0,0,0,0,0,0,11.91666667
6/30/2017,BLL_1711,0,31417.76235,0,542.2353156,0,0,-19351.191,0,0,0,0,0,0,0,12
6/30/2017,BLL_1711,0,31063.1761,0,514.673492,0,0,-19325.48655,0,0,0,0,0,0,0,12.08333333
6/30/2017,BLL_1711,0,30713.16286,0,487.6661899,0,0,-19277.19655,0,0,0,0,0,0,0,12.16666667
6/30/2017,BLL_1711,0,30367.28836,0,444.6089455,0,0,-19220.31691,0,0,0,0,0,0,0,12.25
6/30/2017,BLL_1711,0,30025.41981,0,380.6492835,0,0,-19159.91534,0,0,0,0,0,0,0,12.33333333
6/30/2017,BLL_1711,0,29687.47659,0,306.1788673,0,0,-19097.61465,0,0,0,0,0,0,0,12.41666667
6/30/2017,BLL_1711,0,29353.39854,0,269.1939641,0,0,-19034.12762,0,0,0,0,0,0,0,12.5
6/30/2017,BLL_1711,0,29023.13808,0,233.0058531,0,0,-18969.89324,0,0,0,0,0,0,0,12.58333333
6/30/2017,BLL_1711,0,28696.64723,0,197.6011078,0,0,-18905.12917,0,0,0,0,0,0,0,12.66666667
6/30/2017,BLL_1711,0,28910.34165,0,-6705.736209,0,0,-18956.92946,0,0,0,0,0,0,0,12.75
6/30/2017,BLL_1711,0,29758.05096,0,-14644.87658,0,0,-19166.03264,0,0,0,0,0,0,0,12.83333333
6/30/2017,BLL_1711,0,30832.02034,0,-17254.95465,0,0,-19487.8543,0,0,0,0,0,0,0,12.91666667
6/30/2017,BLL_1711,0,30482.86064,0,516.0993985,0,0,-19554.06953,0,0,0,0,0,0,0,13
6/30/2017,BLL_1711,0,30138.27371,0,489.8269328,0,0,-19538.46434,0,0,0,0,0,0,0,13.08333333
6/30/2017,BLL_1711,0,29798.02959,0,464.0833649,0,0,-19501.04883,0,0,0,0,0,0,0,13.16666667
6/30/2017,BLL_1711,0,29461.82726,0,423.1362298,0,0,-19454.71766,0,0,0,0,0,0,0,13.25
6/30/2017,BLL_1711,0,29129.53919,0,362.2055505,0,0,-19404.53964,0,0,0,0,0,0,0,13.33333333
6/30/2017,BLL_1711,0,28801.07953,0,291.3489946,0,0,-19352.19074,0,0,0,0,0,0,0,13.41666667
6/30/2017,BLL_1711,0,28476.38659,0,256.1260668,0,0,-19298.36291,0,0,0,0,0,0,0,13.5
6/30/2017,BLL_1711,0,28155.41296,0,221.6623963,0,0,-19243.51588,0,0,0,0,0,0,0,13.58333333
6/30/2017,BLL_1711,0,27838.11067,0,187.9451872,0,0,-19187.87898,0,0,0,0,0,0,0,13.66666667
6/30/2017,BLL_1711,0,28043.56995,0,-6332.699472,0,0,-19244.43659,0,0,0,0,0,0,0,13.75
6/30/2017,BLL_1711,0,28870.18358,0,-13915.65182,0,0,-19458.84986,0,0,0,0,0,0,0,13.83333333
6/30/2017,BLL_1711,0,29740.35005,0,-16429.18627,0,0,-19428.50428,0,0,0,0,0,0,0,13.91666667
6/30/2017,BLL_1711,0,29402.90658,0,490.1931009,0,0,-19494.37086,0,0,0,0,0,0,0,14
6/30/2017,BLL_1711,0,29069.82591,0,465.222134,0,0,-19484.20429,0,0,0,0,0,0,0,14.08333333
6/30/2017,BLL_1711,0,28740.92847,0,440.7542639,0,0,-19452.87566,0,0,0,0,0,0,0,14.16666667
6/30/2017,BLL_1711,0,28415.93555,0,401.958778,0,0,-19412.77976,0,0,0,0,0,0,0,14.25
6/30/2017,BLL_1711,0,28094.7325,0,344.1019507,0,0,-19368.3432,0,0,0,0,0,0,0,14.33333333
6/30/2017,BLL_1711,0,27777.23562,0,276.7180146,0,0,-19320.08378,0,0,0,0,0,0,0,14.41666667
6/30/2017,BLL_1711,0,27463.3854,0,243.2550221,0,0,-19267.58306,0,0,0,0,0,0,0,14.5
6/30/2017,BLL_1711,0,27153.13709,0,210.5139117,0,0,-19212.87459,0,0,0,0,0,0,0,14.58333333
6/30/2017,BLL_1711,0,26846.4444,0,178.4825108,0,0,-19157.43401,0,0,0,0,0,0,0,14.66666667
6/30/2017,BLL_1711,0,27045.3208,0,-5958.494256,0,0,-19215.05244,0,0,0,0,0,0,0,14.75
6/30/2017,BLL_1711,0,27853.51968,0,-13199.93501,0,0,-19419.72835,0,0,0,0,0,0,0,14.83333333
6/30/2017,BLL_1711,0,28845.47061,0,-15582.56952,0,0,-19695.66035,0,0,0,0,0,0,0,14.91666667
6/30/2017,BLL_1711,0,28517.3019,0,464.3940492,0,0,-19761.25508,0,0,0,0,0,0,0,15
6/30/2017,BLL_1711,0,28193.3707,0,440.6896347,0,0,-19752.17349,0,0,0,0,0,0,0,15.08333333
6/30/2017,BLL_1711,0,27873.58669,0,417.4633161,0,0,-19723.10141,0,0,0,0,0,0,0,15.16666667
6/30/2017,BLL_1711,0,27557.64038,0,380.7790442,0,0,-19685.34762,0,0,0,0,0,0,0,15.25
6/30/2017,BLL_1711,0,27245.40188,0,325.9132356,0,0,-19643.77564,0,0,0,0,0,0,0,15.33333333
6/30/2017,BLL_1711,0,26936.78104,0,262.0874736,0,0,-19599.78554,0,0,0,0,0,0,0,15.41666667
6/30/2017,BLL_1711,0,26631.71744,0,230.3625327,0,0,-19554.15102,0,0,0,0,0,0,0,15.5
6/30/2017,BLL_1711,0,26330.16569,0,199.3226358,0,0,-19507.47654,0,0,0,0,0,0,0,15.58333333
6/30/2017,BLL_1711,0,26032.07947,0,168.9562215,0,0,-19459.97599,0,0,0,0,0,0,0,15.66666667
6/30/2017,BLL_1711,0,26231.86986,0,-5695.414251,0,0,-19518.97975,0,0,0,0,0,0,0,15.75
6/30/2017,BLL_1711,0,27022.18985,0,-12515.70967,0,0,-19737.29244,0,0,0,0,0,0,0,15.83333333
