"Month","Total_Premiums","Total_Claims","Total_Commission","Total_Ren","Total_Adm"
273,1275332.93040058,515529.122590673,79285.587395327,66540.3386503984,5840589.01910727
274,1267060.88398421,513181.840821212,56250.9634900711,43608.1459563056,5840589.01910727
275,1259924.43708253,509444.444949984,54040.181482702,41489.562240682,5840589.01910727
276,1243902.55304866,503643.579269707,6636.41828414576,-5755.57150218531,5840589.01910727
277,1248465.93585294,503972.999719192,127117.090351913,114630.679634032,5840589.01910727
278,1240127.81095,501098.485524991,56134.0769034006,43658.8889492326,5840589.01910727
279,1233464.6886774,498323.773706175,66724.1400672364,54380.2226014732,5840589.01910727
280,1229601.71015487,498702.666354483,66068.193041826,53774.4064515143,5840589.01910727
281,1223790.7851736,498103.573925711,58595.5644258459,46276.8084502239,5840589.01910727
282,1220581.31481787,497958.289339978,58605.6550080152,46363.142940621,5840589.01910727
283,1213367.6958713,495909.096674638,45676.7622790524,33495.3627677347,5840589.01910727
284,1206697.93527469,494764.949089493,54293.5284520786,42218.5824066351,5840589.01910727
285,1203323.06956434,495091.089891908,69257.3845980882,57221.1742999941,5840589.01910727
286,1196090.11367042,492395.968677896,51306.6349881559,39363.2063215873,5840589.01910727
287,1188938.02535901,489878.370443362,48462.7722240593,36627.1374773291,5840589.01910727
288,1173677.53933734,484175.722726141,6629.57580358266,-5054.86611253327,5840589.01910727
289,1176507.94621644,485300.77684691,101748.00810983,89925.7322334617,5840589.01910727
290,1169801.39173192,484023.220262734,50693.5688605445,38987.8481419368,5840589.01910727
291,1165074.94424681,481888.510898736,60024.3615106015,48386.895130056,5840589.01910727
292,1161565.87295495,482366.464490733,61098.9578305313,49619.8655002354,5840589.01910727
293,1157075.76641685,482460.637268271,52528.1794230302,41003.2467503341,5840589.01910727
294,1151807.84418232,482125.628157523,50876.4032324374,39417.3795345113,5840589.01910727
295,1141248.20412106,477677.521506314,40873.5881404626,29470.2649951629,5840589.01910727
296,1135006.8154791,475449.392107617,48748.5371324426,37444.9986626013,5840589.01910727
297,1130782.76322145,475441.530369575,61501.2615614605,50233.9444123243,5840589.01910727
298,1123861.09996156,473211.367470793,46036.3911592107,34855.647895974,5840589.01910727
299,1115496.07381657,471189.145157249,42723.8827635309,31625.0644568816,5840589.01910727
300,1101044.9713451,465603.053795789,6561.19362847259,-4394.56317776186,5840589.01910727
301,1104872.13475802,469500.087105115,94478.338444782,83479.7619531777,5840589.01910727
302,1098372.22718148,468008.041706273,45433.5951202894,34476.0289406796,5840589.01910727
303,1093220.59570977,466931.903808515,53524.3583721685,42610.0264352735,5840589.01910727
304,1088852.49367153,467918.30059165,49480.5656554873,38670.2609012363,5840589.01910727
305,1085470.80400544,467098.560226723,46863.6298485736,36008.7955488432,5840589.01910727
306,1078406.75514971,467131.333873948,43452.9751386786,32659.0180899784,5840589.01910727
307,1069549.57289204,462775.597833541,36761.2354052539,26026.8927932204,5840589.01910727
308,1062990.14985677,462285.286480023,43420.1723055509,32790.4939734578,5840589.01910727
309,1057563.72966152,462773.106686093,53015.8223968317,42725.0317299141,5840589.01910727
310,1051560.48877194,460790.137785668,40853.8612359719,30640.1637757854,5840589.01910727
311,1045433.33359732,458882.252848391,37734.4742826906,27592.9673011278,5840589.01910727
312,1031764.72485583,453419.634483131,6165.17775163558,-3844.31957259528,5840589.01910727
313,1033421.32316107,455969.102080477,84029.3139806424,73947.0662960571,5840589.01910727
314,1027373.3567557,454687.319222327,39405.0625190296,29341.8831535411,5840589.01910727
315,1021717.04086213,453151.859422515,44397.5174302419,34404.6239939152,5840589.01910727
316,1019299.22099182,454169.405665184,44926.581982606,35003.8502830288,5840589.01910727
317,1015314.46703266,453628.146732084,38205.2502391757,28258.4916623348,5840589.01910727
318,1010314.94517025,453444.228578164,36090.8567992574,26251.6834847482,5840589.01910727
319,1002324.26875355,449055.85746758,32553.1580255998,22765.5963457017,5840589.01910727
320,994373.401391033,438860.044048462,37797.5355139956,28110.0999036148,5840589.01910727
321,991295.232304915,438875.979632013,46786.5497745447,37174.7608887134,5840589.01910727
322,985141.927669973,436904.777749174,35555.0732757529,26022.1967260041,5840589.01910727
323,978910.049512503,435004.532962451,33140.1873126192,23673.6097015346,5840589.01910727
324,965986.051659867,429664.052072252,6057.90772867654,-3284.13884621755,5840589.01910727
325,970447.006828335,433448.621583399,73730.4944607926,64286.9141503765,5840589.01910727
326,965005.939165533,431811.088197647,35140.6477101187,25708.6672345727,5840589.01910727
327,961014.766379985,430391.255504921,40487.9083563229,31122.1886353328,5840589.01910727
328,957916.22870458,431449.786915409,37631.3571123435,28309.1561449571,5840589.01910727
329,952948.67364444,429105.216199364,36061.115452732,26726.6619536353,5840589.01910727
330,948275.41215818,428642.996073422,30429.9743833285,21149.4726909377,5840589.01910727
331,941480.63755352,426430.357901085,28316.2062889488,19084.980859341,5840589.01910727
332,934287.531624827,424633.923137269,32968.073832603,23839.5531649038,5840589.01910727
333,930944.64893473,424788.281920386,41087.2146549901,32015.6494378021,5840589.01910727
334,924418.555513437,422893.06178624,31782.8000314681,22780.0406114625,5840589.01910727
335,919399.205215905,421039.554645416,27711.7655797274,18771.3739811275,5840589.01910727
336,907147.725728936,415857.502552825,6005.76215914751,-2815.63747488773,5840589.01910727
337,908030.316412593,418933.719389819,64499.9532259456,55563.1895428319,5840589.01910727
338,901281.275963604,416516.979035421,30488.2688142571,21662.4363914514,5840589.01910727
339,897633.484674691,415289.36774476,35586.7974205419,26799.2584650692,5840589.01910727
340,895634.716624604,416098.136911732,31674.3393531561,22924.59584314,5840589.01910727
341,890380.988759969,415803.402493424,31193.1182789293,22428.1707058052,5840589.01910727
342,882702.453135443,416068.533656458,22701.4954205913,13988.3260551087,5840589.01910727
343,876208.590599782,413850.758090499,24779.138309985,16157.6310272988,5840589.01910727
344,869765.630076702,412333.934306028,30335.0852704975,21806.3486839441,5840589.01910727
345,867219.170493745,412813.896753561,35084.9539025176,26609.2696888235,5840589.01910727
346,862540.576045454,411004.200809191,27944.9132173533,19532.9153670289,5840589.01910727
347,856859.318585559,409251.535768476,22850.1490155671,14499.8223250852,5840589.01910727
348,845320.486380336,404219.918844091,5881.79102510651,-2356.92398305492,5840589.01910727
349,846565.880667238,407281.626496107,55288.6911857268,47024.7314992186,5840589.01910727
350,839030.456926475,405611.267662576,28225.8463650662,20009.5770843056,5840589.01910727
351,835497.674608378,404249.5234205,30320.3609594897,22151.2952490944,5840589.01910727
352,831284.814568964,404410.125462434,24811.8582971707,16682.1039682559,5840589.01910727
353,827970.468752572,404120.743515431,24731.5317967595,16565.2886999338,5840589.01910727
354,825484.371387489,404494.454089731,19343.7448255088,11221.9322601715,5840589.01910727
355,819362.685684063,402313.919569033,22445.4453130894,14378.6609825548,5840589.01910727
356,814344.945887015,401017.452999111,26580.286628322,18589.1053866997,5840589.01910727
357,809400.33771057,401321.502129275,29420.3857753939,21573.1575559326,5840589.01910727
358,803773.826784513,399361.722345254,24002.7663147518,16220.3728007262,5840589.01910727
359,799409.474337839,397666.650097501,20467.0488673933,12737.9770747393,5840589.01910727
360,788530.952185583,392778.982045214,5662.23058316024,-1962.62637132779,5840589.01910727
361,788850.909183432,394518.808462018,43986.7773544777,36315.2180812225,5840589.01910727
362,784292.415347051,393085.367046792,25123.3129856788,17473.1577899511,5840589.01910727
363,780730.303994022,391807.69109394,25296.5504730718,17680.6924466938,5840589.01910727
364,778544.254641626,392823.006114022,18941.5741694269,11354.4731105957,5840589.01910727
365,774390.861416256,391861.705025512,19594.1588969416,11984.7860157574,5840589.01910727
366,771498.303561252,391733.163239471,16103.6896524456,8534.93234012181,5840589.01910727
367,764824.851374837,389783.815088846,19075.8174767774,11545.9324111852,5840589.01910727
368,758921.161558099,388552.976056758,21935.1914792362,14481.9451888118,5840589.01910727
369,755841.550772362,388944.139783283,24259.3382323663,16862.477922678,5840589.01910727
370,750986.285682842,386884.438741322,21482.7097434688,14146.2422842785,5840589.01910727
371,746283.666518386,384982.907695365,18034.4349561301,10770.1343870318,5840589.01910727
372,736022.436338684,380257.419184899,5589.69308273472,-1575.70756313528,5840589.01910727
373,737779.418577564,376539.039423303,37994.3540703737,30742.2428553042,5840589.01910727
374,732876.538156425,375299.948623206,21817.8428700464,14586.0699790415,5840589.01910727
375,730079.319766906,374107.115886351,19644.1483271754,12458.4454010026,5840589.01910727
376,727643.583767524,375033.759132737,14360.4553928905,7215.64468324702,5840589.01910727
377,722966.037532255,374469.120507827,15344.6415382634,8173.84300152081,5840589.01910727
378,717443.269476218,369711.733457508,12394.6942674845,5270.25969942281,5840589.01910727
379,711586.209017149,367877.055531096,16733.4234062926,9653.00924708838,5840589.01910727
380,706988.66611911,366647.377451652,19699.3183458583,12686.385820991,5840589.01910727
381,704338.60091979,365293.979604933,20470.4463766414,13535.6157317099,5840589.01910727
