"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
230,0,128526.875320424,0,875965.629088959,128526.875320424,0
231,0,128815.762030183,0,875425.851951518,128815.762030183,0
232,0,129140.141630347,0,875072.741643997,129140.141630347,0
233,0,129505.225863602,0,874930.727469488,129505.225863602,0
234,0,129914.150805794,0,875014.465709065,129914.150805794,0
235,0,130158.382279726,0,874339.427738098,130158.382279726,0
236,0,130200.774927403,0,872729.749060996,130200.774927403,0
237,0,130439.645241959,0,872065.191034162,130439.645241959,0
238,0,130854.247116946,0,872247.863021606,130854.247116946,0
239,0,131403.999661708,0,873086.248384329,131403.999661708,0
240,0,132090.406314365,0,874587.666349179,132090.406314365,0
241,0,132118.404475289,0,873540.381005491,132118.404475289,0
242,0,132160.538951024,0,872575.351691142,132160.538951024,0
243,0,132158.339723414,0,871392.250145136,132158.339723414,0
244,0,132188.817710372,0,870386.159813166,132188.817710372,0
245,0,132256.317163466,0,869579.186861715,132256.317163466,0
246,0,132363.439489153,0,868984.570302016,132363.439489153,0
247,0,132335.207451938,0,867703.633905146,132335.207451938,0
248,0,132140.398840255,0,865575.892655944,132140.398840255,0
249,0,132113.117542511,0,864317.033254026,132113.117542511,0
250,0,132235.955821343,0,863837.558250585,132235.955821343,0
251,0,132474.864072406,0,863962.536478932,132474.864072406,0
252,0,132831.093957848,0,864698.545258834,132831.093957848,0
253,0,132351.91203065,0,863902.765825522,132351.91203065,0
254,0,131886.531863971,0,863189.007106015,131886.531863971,0
255,0,131398.649230187,0,862247.806366324,131398.649230187,0
256,0,130935.963765372,0,861486.481959983,130935.963765372,0
257,0,130501.110278998,0,860927.899584813,130501.110278998,0
258,0,130095.647120902,0,860585.745199561,130095.647120902,0
259,0,129611.037749106,0,859534.047870504,129611.037749106,0
260,0,129027.895940737,0,857607.477356134,129027.895940737,0
261,0,128553.332454158,0,856573.920101716,128553.332454158,0
262,0,128176.479081001,0,856341.136777347,128176.479081001,0
263,0,127876.156143508,0,856728.848687311,127876.156143508,0
264,0,127653.072485029,0,857743.811279279,127653.072485029,0
265,0,127865.479802629,0,857017.772127122,127865.479802629,0
266,0,128091.602104847,0,856373.157816911,128091.602104847,0
267,0,128266.454192623,0,855498.409508285,128266.454192623,0
268,0,128475.683347564,0,854803.711281526,128475.683347564,0
269,0,128724.134306748,0,854312.035969791,128724.134306748,0
270,0,129014.715505029,0,854037.143230883,129014.715505029,0
271,0,129152.9101585,0,853046.402613121,129152.9101585,0
272,0,129104.051742245,0,851173.424569103,129104.051742245,0
273,0,129239.630340659,0,850198.931747546,129239.630340659,0
274,0,129540.28389307,0,850029.923209097,129540.28389307,0
275,0,129968.150825631,0,850484.742438742,129968.150825631,0
276,0,130524.621530662,0,851570.131950567,130524.621530662,0
277,0,130633.601835648,0,850810.552127508,130633.601835648,0
278,0,130756.411537418,0,850131.809664866,130756.411537418,0
279,0,130831.10704573,0,849223.917190783,130831.10704573,0
280,0,130939.317469379,0,848494.852844021,130939.317469379,0
281,0,131085.645722513,0,847967.487627219,131085.645722513,0
282,0,131272.84741644,0,847655.473326284,131272.84741644,0
283,0,131315.523720301,0,846631.55159757,131315.523720301,0
284,0,131180.662230734,0,844730.409201831,131180.662230734,0
285,0,131222.342225774,0,843722.599673192,131222.342225774,0
286,0,131422.063105267,0,843515.507595481,131422.063105267,0
287,0,131743.698885148,0,843928.363739362,131743.698885148,0
288,0,132188.541342084,0,844967.766500579,132188.541342084,0
289,0,132211.912142639,0,843891.267963772,132211.912142639,0
290,0,132248.922734769,0,842894.269285138,132248.922734769,0
291,0,132240.337805426,0,841681.717057419,132240.337805426,0
292,0,132264.233459833,0,840642.529474918,132264.233459833,0
293,0,132324.999909908,0,839798.327758547,132324.999909908,0
294,0,132425.258033417,0,839162.011412349,132425.258033417,0
295,0,132387.710452653,0,837849.3267117,132387.710452653,0
296,0,132180.847987692,0,835702.807526195,132180.847987692,0
297,0,132143.319758974,0,834410.88887721,132143.319758974,0
298,0,132257.365400199,0,833884.956838058,132257.365400199,0
299,0,132488.379281506,0,833952.469112523,132488.379281506,0
300,0,132837.55128053,0,834619.605411425,132837.55128053,0
301,0,132953.081599207,0,833392.653756822,132953.081599207,0
302,0,133082.916552527,0,832245.619128964,133082.916552527,0
303,0,133162.835278639,0,830891.139359205,133162.835278639,0
304,0,133277.470856789,0,829707.031616658,133277.470856789,0
305,0,133431.583746373,0,828714.285975852,133431.583746373,0
306,0,133628.024852881,0,827925.429980262,133628.024852881,0
307,0,133674.583865373,0,826480.980760552,133674.583865373,0
308,0,133537.064850397,0,824227.911206434,133537.064850397,0
309,0,133582.574285384,0,822807.336115046,133582.574285384,0
310,0,133791.894612478,0,822133.12522513,133791.894612478,0
311,0,134127.542836654,0,822037.573207132,134127.542836654,0
312,0,134590.829106342,0,822526.654987778,134590.829106342,0
313,0,134716.108820356,0,821632.693681785,134716.108820356,0
314,0,134855.656587447,0,820816.803946939,134855.656587447,0
315,0,134943.624704955,0,819779.382459577,134943.624704955,0
316,0,135066.81084097,0,818914.854341869,135066.81084097,0
317,0,135230.092941508,0,818245.235076905,135230.092941508,0
318,0,135436.387273269,0,817783.667830478,135436.387273269,0
319,0,135488.606038047,0,816633.616978873,135488.606038047,0
320,0,135351.735777493,0,814635.64102748,135351.735777493,0
321,0,135402.242333291,0,813501.897025193,135402.242333291,0
322,0,135620.374575682,0,813142.370556395,135620.374575682,0
323,0,135967.655580781,0,813381.984186326,135967.655580781,0
324,0,136445.399658474,0,814226.851914885,136445.399658474,0
325,0,135952.300604298,0,812604.170382798,135952.300604298,0
326,0,135472.320712574,0,811058.145503046,135472.320712574,0
327,0,134965.852783795,0,809321.860067889,134965.852783795,0
328,0,134485.074259744,0,807746.523045495,134485.074259744,0
329,0,134032.844062825,0,806351.571200775,134032.844062825,0
330,0,133610.837658316,0,805148.563225238,133610.837658316,0
331,0,133100.569761105,0,803338.98693414,133100.569761105,0
332,0,132481.158093267,0,800781.073594308,132481.158093267,0
333,0,131978.964881903,0,798999.783101174,131978.964881903,0
334,0,131581.86990281,0,797914.615869113,131581.86990281,0
335,0,131266.528159259,0,797369.375085965,131266.528159259,0
336,0,131033.550893753,0,797369.291931693,131033.550893753,0
337,0,130979.771085334,0,796358.164117581,130979.771085334,0
338,0,130941.322293816,0,795424.5132377,130941.322293816,0
339,0,130860.396232926,0,794277.877628892,130860.396232926,0
340,0,130813.063691642,0,793300.878607739,130813.063691642,0
341,0,130803.569752241,0,792514.793794303,130803.569752241,0
342,0,130834.440376836,0,791932.281806853,130834.440376836,0
343,0,130732.75210814,0,790683.95361686,130732.75210814,0
344,0,130467.679303682,0,788615.332551951,130467.679303682,0
345,0,130369.352008147,0,787386.725334015,130369.352008147,0
346,0,130420.477297237,0,786910.61019283,130420.477297237,0
347,0,130587.32925382,0,787017.05975907,130587.32925382,0
348,0,130871.070751214,0,787711.889040499,130871.070751214,0
349,0,130399.840943715,0,786225.335335046,130399.840943715,0
350,0,129941.537757666,0,784814.702617932,129941.537757666,0
351,0,129457.181685139,0,783211.581345013,129457.181685139,0
352,0,128998.110289787,0,781769.012762078,128998.110289787,0
353,0,128567.130422593,0,780506.554604457,128567.130422593,0
354,0,128165.884568142,0,779435.813584621,128165.884568142,0
355,0,127677.776280914,0,777754.337449208,127677.776280914,0
356,0,127082.25402511,0,775319.816286653,127082.25402511,0
357,0,126602.058722188,0,773664.870828026,126602.058722188,0
358,0,126225.256576362,0,772708.412385775,126225.256576362,0
359,0,125928.870393226,0,772293.312006339,125928.870393226,0
360,0,125713.495007756,0,772424.711871359,125713.495007756,0
361,0,125775.758049375,0,771256.483286049,125775.758049375,0
362,0,125851.099507928,0,770162.7882039,125851.099507928,0
363,0,125878.136074655,0,768864.06634837,125878.136074655,0
364,0,125937.841458222,0,767728.196042676,125937.841458222,0
365,0,126034.741005756,0,766775.576927445,126034.741005756,0
366,0,126171.529347976,0,766018.32687837,126171.529347976,0
367,0,126164.45449895,0,764620.575454962,126164.45449895,0
368,0,125981.033302563,0,762434.262038677,125981.033302563,0
369,0,125972.393631793,0,761056.1089129,125972.393631793,0
370,0,126119.956496997,0,760401.56393288,126119.956496997,0
371,0,126387.708932353,0,760306.834565114,126387.708932353,0
372,0,126776.767018901,0,760777.177229034,126776.767018901,0
373,0,126424.937769827,0,759071.316879505,126424.937769827,0
374,0,126086.350553275,0,757439.570345763,126086.350553275,0
375,0,125716.710820824,0,755627.712854026,125716.710820824,0
376,0,125374.38770086,0,753970.611071768,125374.38770086,0
377,0,125062.587775128,0,752486.660447966,125062.587775128,0
378,0,124783.191507742,0,751186.728827214,124783.191507742,0
379,0,124403.671192334,0,749309.748576207,124403.671192334,0
380,0,123900.670570609,0,746721.022900741,123900.670570609,0
381,0,123527.398889408,0,744874.230373214,123527.398889408,0
382,0,123270.309887404,0,743692.064650514,123270.309887404,0
383,0,123103.306000322,0,743025.175342186,123103.306000322,0
384,0,123027.082742214,0,742878.170213734,123027.082742214,0
385,0,122967.789396153,0,741339.815700236,122967.789396153,0
386,0,122921.132472759,0,739874.371378447,122921.132472759,0
387,0,122830.651026173,0,738223.781308548,122830.651026173,0
388,0,122770.858600382,0,736727.341895128,122770.858600382,0
389,0,122745.888295388,0,735403.716798841,122745.888295388,0
390,0,122758.187508531,0,734263.946624274,122758.187508531,0
391,0,122638.73341183,0,732536.758048163,122638.73341183,0
392,0,122357.782748821,0,730085.846713983,122357.782748821,0
393,0,122238.411472944,0,728384.624970687,122238.411472944,0
394,0,122263.374581172,0,727354.701194389,122263.374581172,0
395,0,122399.414006431,0,726844.636677877,122399.414006431,0
396,0,122647.449783061,0,726859.003244846,122647.449783061,0
397,0,122660.859405615,0,725668.502875267,122660.859405615,0
398,0,122687.242037263,0,724551.744690142,122687.242037263,0
399,0,122665.891371141,0,723238.195430281,122665.891371141,0
400,0,122676.938385271,0,722084.165395891,122676.938385271,0
401,0,122724.83303929,0,721109.32070882,122724.83303929,0
402,0,122812.209262026,0,720325.291124039,122812.209262026,0
403,0,122757.322503921,0,718922.63777725,122757.322503921,0
404,0,122528.201936715,0,716758.141439242,122528.201936715,0
405,0,122472.258750109,0,715378.013362797,122472.258750109,0
406,0,122570.947097164,0,714700.109571823,122570.947097164,0
407,0,122788.50224112,0,714565.609040073,122788.50224112,0
408,0,123125.915167769,0,714979.393724572,123125.915167769,0
409,0,122666.874011284,0,712917.192717956,122666.874011284,0
410,0,122221.108256834,0,710927.559463125,122221.108256834,0
411,0,121747.649983607,0,708780.562798946,121747.649983607,0
412,0,121300.515097083,0,706778.631208093,121300.515097083,0
413,0,120882.629117055,0,704938.282380224,120882.629117055,0
414,0,120495.690918421,0,703269.213440158,120495.690918421,0
415,0,120017.130782601,0,701084.003562515,120017.130782601,0
416,0,119425.509347497,0,698261.2917571,119425.509347497,0
417,0,118955.110398524,0,696114.182202668,118955.110398524,0
418,0,118593.214252272,0,694572.487945714,118593.214252272,0
419,0,118315.518274157,0,693500.964541091,118315.518274157,0
420,0,118122.532578798,0,692903.450745406,118122.532578798,0
421,0,117649.864645825,0,691284.400925545,117649.864645825,0
422,0,117190.06791196,0,689735.86101588,117190.06791196,0
423,0,116704.154770512,0,688014.709032287,116704.154770512,0
424,0,116243.538841997,0,686441.224241936,116243.538841997,0
425,0,115810.986157044,0,685032.931691995,115810.986157044,0
426,0,115408.093016503,0,683800.147078608,115408.093016503,0
427,0,114918.2178721,0,682015.307831318,114918.2178721,0
428,0,114321.025220379,0,679550.104692323,114321.025220379,0
429,0,113839.505776222,0,677794.556781201,113839.505776222,0
430,0,113461.472367083,0,676674.322502675,113461.472367083,0
431,0,113163.728485868,0,676046.233966259,113163.728485868,0
432,0,112946.703112644,0,675914.340659607,112946.703112644,0
433,0,111511.067732646,0,673520.277590737,111511.067732646,0
434,0,110088.443239841,0,671196.53651055,110088.443239841,0
435,0,108684.298470333,0,668738.278582649,108684.298470333,0
436,0,107291.166544556,0,666415.024226223,107291.166544556,0
437,0,105908.391369312,0,664241.351675261,105908.391369312,0
438,0,104535.470481915,0,662225.764673512,104535.470481915,0
439,0,103189.069505658,0,659755.745507376,103189.069505658,0
440,0,101872.453398744,0,656723.416868518,101872.453398744,0
441,0,100553.650595985,0,654298.824564301,100553.650595985,0
442,0,99233.7186213098,0,652418.977716989,99233.7186213098,0
443,0,97915.3908579169,0,650963.016960661,97915.3908579169,0
444,0,96598.0937803907,0,649934.080801973,96598.0937803907,0
445,0,95891.350390857,0,648100.120905426,95891.350390857,0
446,0,95195.1580989865,0,646333.9032371,95195.1580989865,0
447,0,94489.7311226341,0,644414.126313403,94489.7311226341,0
448,0,93801.1643624257,0,642632.120592951,93801.1643624257,0
